"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 16 11:57:39 ICT 2022","Sun Jan 16 11:57:47 ICT 2022","7360","Nop Commerce","Run on CHROME","com.nopcommerce.user.Level_14_Login_Log_Allure_Report","com.nopcommerce.user.Level_14_Login_Log_Allure_Report","Login_01_Register","Login_01_Register","User 01 - Rigister to System"
"failed","Sun Jan 16 11:57:47 ICT 2022","Sun Jan 16 11:57:52 ICT 2022","5118","Nop Commerce","Run on CHROME","com.nopcommerce.user.Level_14_Login_Log_Allure_Report","com.nopcommerce.user.Level_14_Login_Log_Allure_Report","TC_02_Login","TC_02_Login","User 02 - Login to System"
